catalystId,rarity,archetype,meanScoreControl,meanScoreTreatment,deltaScore,deltaScorePct,meanAnteControl,meanAnteTreatment,deltaAnte,winRateControl,winRateTreatment,deltaWinRate,meanShardsControl,meanShardsTreatment,deltaShards,deltaShardsPct,bustSurvivalAnte
singularity_engine,mythic,scaling,417,15220,14802,3545.8,1,2.53,1.53,0,0.233,0.233,9.4,73.4,64,680.5,1.53
eclipse_pact,legendary,combo,417,1116,699,167.4,1,1.87,0.87,0,0,0,9.4,44.6,35.2,374.1,0.87
bone_tax,uncommon,risk,417,1018,600,143.8,1,1.33,0.33,0,0,0,9.4,26.8,17.4,185.1,0.33
shard_lung,uncommon,economy,417,1001,584,139.8,1,1.47,0.47,0,0,0,9.4,33.2,23.8,253.5,0.47
first_strike,common,scaling,417,804,387,92.6,1,1.1,0.1,0,0,0,9.4,17.7,8.3,87.9,0.1
pair_dynamo,common,combo,417,772,354,84.9,1,1.13,0.13,0,0,0,9.4,17.5,8.1,85.8,0.13
the_patient,rare,timing,417,740,322,77.2,1,1.2,0.2,0,0,0,9.4,18.6,9.2,97.5,0.2
prism_lens,uncommon,combo,417,725,308,73.7,1,1.33,0.33,0,0,0,9.4,23.3,13.9,147.9,0.33
tide,uncommon,scaling,417,689,271,64.9,1,1.03,0.03,0,0,0,9.4,12.3,2.9,31.2,0.03
the_reckoning,legendary,combo,417,685,268,64.2,1,1.07,0.07,0,0,0,9.4,16.8,7.4,78.7,0.07
prime_resonance,rare,scaling,417,660,243,58.1,1,1,0,0,0,0,9.4,13.1,3.7,39,0
momentum,uncommon,scaling,417,649,231,55.4,1,1.03,0.03,0,0,0,9.4,11.3,1.9,20.6,0.03
entropy_index,rare,face,417,648,230,55.2,1,1.03,0.03,0,0,0,9.4,13.6,4.2,44.3,0.03
low_choir,uncommon,face,417,645,228,54.6,1,1,0,0,0,0,9.4,12.2,2.8,29.8,0
penumbra,rare,combo,417,638,221,52.9,1,1.3,0.3,0,0,0,9.4,23.4,14,149.3,0.3
metronome,rare,timing,417,638,220,52.7,1,1,0,0,0,0,9.4,12.6,3.2,34,0
eclipse_heart,mythic,risk,417,636,219,52.3,1,1.1,0.1,0,0,0,9.4,16.2,6.8,72.7,0.1
lucky_streak,common,combo,417,634,217,52,1,1,0,0,0,0,9.4,12.9,3.5,37.6,0
triplet_engine,uncommon,combo,417,631,213,51,1,1,0,0,0,0,9.4,12.3,2.9,31.2,0
usurer,rare,economy,417,623,206,49.3,1,1.03,0.03,0,0,0,9.4,10.5,1.1,11.3,0.03
shard_sink,common,economy,417,573,156,37.3,1,1.03,0.03,0,0,0,9.4,5.8,-3.6,-37.9,0.03
magpie,uncommon,scaling,417,573,156,37.3,1,1.03,0.03,0,0,0,9.4,11,1.6,17.4,0.03
ouroboros,rare,scaling,417,573,155,37.2,1,1.07,0.07,0,0,0,9.4,11.1,1.7,18.1,0.07
nova_burst,rare,scaling,417,571,154,36.8,1,1,0,0,0,0,9.4,11.9,2.5,27,0
crown_of_skulls,legendary,risk,417,571,154,36.8,1,1.17,0.17,0,0,0,9.4,15.2,5.8,61.3,0.17
stargazer,rare,face,417,559,142,33.9,1,1,0,0,0,0,9.4,10.6,1.2,13.1,0
high_roller,rare,face,417,556,138,33.1,1,1,0,0,0,0,9.4,10.7,1.3,13.5,0
hourglass,rare,timing,417,554,137,32.8,1,1.03,0.03,0,0,0,9.4,12,2.6,28,0.03
voidforge,mythic,scaling,417,547,130,31.1,1,1.03,0.03,0,0,0,9.4,11,1.6,17.4,0.03
counter_purse,common,economy,417,537,120,28.6,1,1,0,0,0,0,9.4,9.6,0.2,2.5,0
comet_trail,uncommon,scaling,417,535,117,28.1,1,1.03,0.03,0,0,0,9.4,10.9,1.5,16.3,0.03
economy_engine,rare,economy,417,534,117,28,1,1,0,0,0,0,9.4,10.3,0.9,9.6,0
even_keeled,common,face,417,532,115,27.5,1,1,0,0,0,0,9.4,10.9,1.5,15.6,0
highwater,uncommon,scaling,417,527,110,26.2,1,1.03,0.03,0,0,0,9.4,11.1,1.7,18.4,0.03
heirloom_locket,legendary,scaling,417,520,102,24.5,1,1,0,0,0,0,9.4,9.6,0.2,2.5,0
all_band,legendary,combo,417,517,100,23.8,1,1.03,0.03,0,0,0,9.4,11.3,1.9,20.2,0.03
compounding_bias,uncommon,scaling,417,515,97,23.3,1,1,0,0,0,0,9.4,9.4,0,0.4,0
streak_seeker,uncommon,timing,417,504,87,20.8,1,1.03,0.03,0,0,0,9.4,10.3,0.9,9.9,0.03
iron_six,common,face,417,499,82,19.5,1,1,0,0,0,0,9.4,10.4,1,11,0
dice_master,uncommon,utility,417,499,81,19.5,1,1,0,0,0,0,9.4,10,0.6,6,0
last_throw,common,timing,417,494,76,18.3,1,1,0,0,0,0,9.4,9.8,0.4,4.6,0
mosaic_bias,uncommon,face,417,494,76,18.3,1,1,0,0,0,0,9.4,11.6,2.2,23,0
memento_star,rare,scaling,417,490,73,17.4,1,1,0,0,0,0,9.4,9.4,0,0.4,0
lodestone,common,scaling,417,482,65,15.5,1,1,0,0,0,0,9.4,9.6,0.2,2.5,0
quorum,uncommon,timing,417,480,62,14.9,1,1.03,0.03,0,0,0,9.4,11.2,1.8,19.5,0.03
six_bias,common,face,417,478,61,14.6,1,1,0,0,0,0,9.4,9.7,0.3,3.2,0
prime_pact,common,face,417,473,56,13.4,1,1,0,0,0,0,9.4,9.4,0,-0.4,0
solar_flare,uncommon,face,417,471,54,12.9,1,1,0,0,0,0,9.4,10.2,0.8,8.2,0
reservoir,common,face,417,468,50,12.1,1,1,0,0,0,0,9.4,10.4,1,10.6,0
shadow_cache,common,face,417,466,49,11.6,1,1,0,0,0,0,9.4,9.4,0,0.4,0
patience_counter,rare,timing,417,458,41,9.8,1,1.03,0.03,0,0,0,9.4,11.7,2.3,24.8,0.03
hoarders_crown,mythic,economy,417,455,38,9,1,1,0,0,0,0,9.4,9.4,0,0,0
wildcard_waltz,uncommon,face,417,453,36,8.5,1,1,0,0,0,0,9.4,10.4,1,10.3,0
lyric_pulse,uncommon,combo,417,445,28,6.6,1,1,0,0,0,0,9.4,9.4,0,0.4,0
cosmic_compass,rare,scaling,417,445,27,6.6,1,1,0,0,0,0,9.4,9.4,0,0,0
face_value,common,face,417,442,25,5.9,1,1.03,0.03,0,0,0,9.4,11.6,2.2,23.4,0.03
silent_witness,uncommon,combo,417,441,23,5.6,1,1,0,0,0,0,9.4,9.5,0.1,1.4,0
odd_voice,common,face,417,439,21,5,1,1,0,0,0,0,9.4,10.7,1.3,13.8,0
unseen_chorus,uncommon,combo,417,438,21,5,1,1,0,0,0,0,9.4,9.4,0,0,0
vault_heart,rare,scaling,417,433,15,3.7,1,1,0,0,0,0,9.4,9.4,0,0,0
double_or_nothing,rare,risk,417,430,12,3,1,1,0,0,0,0,9.4,9.3,-0.1,-1.4,0
cold_hand,common,combo,417,421,3,0.8,1,1,0,0,0,0,9.4,9.4,0,0,0
lunar_phases,rare,scaling,417,420,3,0.7,1,1,0,0,0,0,9.4,9.4,0,0,0
stratifier,uncommon,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
chaos_theory,uncommon,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
twin_sample,uncommon,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
catalyst_bench,uncommon,scaling,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
stipend,uncommon,economy,417,417,0,0,1,1,0,0,0,0,9.4,11.8,2.4,25.2,0
recursive_sink,rare,economy,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
encore,rare,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
phase_shift,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
conductor,rare,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
magnitude,rare,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
levels_levy,rare,scaling,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
straight_signal,uncommon,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
tetrad,rare,combo,417,417,0,0,1,1,0,0,0,0,9.4,10.2,0.8,8.2,0
apex,rare,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
harmonic,rare,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
silver_tongue,uncommon,utility,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
dust_off,common,utility,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
crescendo_run,uncommon,scaling,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
audit,uncommon,utility,417,417,0,0,1,1,0,0,0,0,9.4,11.7,2.3,24.5,0
gilding_press,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
mod_gravity,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.9,0.5,5.3,0
royal_flush,rare,combo,417,417,0,0,1,1,0,0,0,0,9.4,10.7,1.3,14.2,0
crowded_table,uncommon,face,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
three_sigil,rare,combo,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
captains_wage,uncommon,face,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
golden_ratio,uncommon,face,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
star_chart,uncommon,scaling,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
event_horizon,rare,scaling,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
polaris,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
refrain,rare,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
mirror_edge,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
curtain_call,rare,timing,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
stutter,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
recursion_lens,legendary,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
cardinal_compass,common,face,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
echo_chamber,uncommon,mods,417,417,0,0,1,1,0,0,0,0,9.4,9.4,0,0,0
