catalystId,rarity,archetype,meanScoreControl,meanScoreTreatment,deltaScore,deltaScorePct,meanAnteControl,meanAnteTreatment,deltaAnte,winRateControl,winRateTreatment,deltaWinRate
eclipse_pact,legendary,combo,438,1680,1242,283.4,1.02,1.94,0.92,0,0,0
shard_lung,uncommon,economy,438,1424,986,224.9,1.02,1.41,0.39,0,0,0
prism_lens,uncommon,combo,438,906,468,106.7,1.02,1.3,0.28,0,0,0
entropy_index,rare,face,438,734,296,67.5,1.02,1.16,0.14,0,0,0
lucky_streak,common,combo,438,662,224,51,1.02,1.06,0.04,0,0,0
pair_dynamo,common,combo,438,655,217,49.6,1.02,1.04,0.03,0,0,0
triplet_engine,uncommon,combo,438,622,184,41.9,1.02,1.04,0.02,0,0,0
metronome,rare,timing,438,616,177,40.5,1.02,1.08,0.06,0,0,0
low_choir,uncommon,face,438,602,164,37.4,1.02,1.08,0.06,0,0,0
momentum,uncommon,scaling,438,600,162,37,1.02,1.08,0.06,0,0,0
nova_burst,rare,scaling,438,586,148,33.8,1.02,1.07,0.05,0,0,0
shard_sink,common,economy,438,575,137,31.2,1.02,1.06,0.04,0,0,0
quorum,uncommon,timing,438,565,127,28.9,1.02,1.03,0.01,0,0,0
high_roller,rare,face,438,559,121,27.5,1.02,1.02,0,0,0,0
all_band,legendary,combo,438,553,115,26.3,1.02,1.05,0.04,0,0,0
streak_seeker,uncommon,timing,438,526,87,19.9,1.02,1.02,0,0,0,0
last_throw,common,timing,438,523,85,19.3,1.02,1.03,0.01,0,0,0
even_keeled,common,face,438,519,80,18.4,1.02,1.04,0.03,0,0,0
economy_engine,rare,economy,438,518,80,18.2,1.02,1.02,0,0,0,0
odd_voice,common,face,438,513,75,17.2,1.02,1.02,0,0,0,0
patience_counter,rare,timing,438,501,62,14.3,1.02,1.03,0.01,0,0,0
prime_resonance,rare,scaling,438,498,60,13.7,1.02,1.06,0.04,0,0,0
usurer,rare,economy,438,492,54,12.3,1.02,1.04,0.03,0,0,0
six_bias,common,face,438,488,50,11.3,1.02,1.02,0,0,0,0
iron_six,common,face,438,487,49,11.1,1.02,1.02,0.01,0,0,0
face_value,common,face,438,486,47,10.8,1.02,1.03,0.01,0,0,0
tempo,uncommon,scaling,438,478,40,9.1,1.02,1.04,0.03,0,0,0
solar_flare,uncommon,face,438,470,31,7.2,1.02,1.02,0,0,0,0
prime_pact,common,face,438,462,23,5.3,1.02,1.01,-0.01,0,0,0
dice_master,uncommon,utility,438,461,22,5.1,1.02,1.03,0.01,0,0,0
chance_doctrine,uncommon,combo,438,455,17,3.9,1.02,1.01,-0.01,0,0,0
compounding_bias,uncommon,scaling,438,454,16,3.7,1.02,1.02,0.01,0,0,0
cold_hand,common,combo,438,441,3,0.6,1.02,1.01,-0.01,0,0,0
first_strike,common,scaling,438,441,2,0.6,1.02,1.01,-0.01,0,0,0
stratifier,uncommon,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
chaos_theory,uncommon,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
twin_sample,uncommon,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
catalyst_bench,uncommon,scaling,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
stipend,uncommon,economy,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
recursive_sink,rare,economy,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
encore,rare,mods,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
phase_shift,uncommon,mods,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
conductor,rare,mods,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
magnitude,rare,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
levels_levy,rare,scaling,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
straight_signal,uncommon,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
apex,rare,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
harmonic,rare,mods,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
silver_tongue,uncommon,utility,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
dust_off,common,utility,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
crescendo_run,uncommon,scaling,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
audit,uncommon,utility,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
gilding_press,uncommon,mods,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
royal_flush,rare,combo,438,439,1,0.1,1.02,1.01,-0.01,0,0,0
mod_gravity,uncommon,mods,438,437,-2,-0.4,1.02,1.02,0.01,0,0,0
tetrad,rare,combo,438,423,-16,-3.6,1.02,1.04,0.02,0,0,0
