catalystId,rarity,archetype,meanScoreControl,meanScoreTreatment,deltaScore,deltaScorePct,meanAnteControl,meanAnteTreatment,deltaAnte,winRateControl,winRateTreatment,deltaWinRate
eclipse_pact,legendary,combo,158,1008,850,536.6,1,1.61,0.61,0,0,0
first_strike,common,scaling,158,520,361,228.1,1,1,0,0,0,0
bone_tax,uncommon,risk,158,495,336,212.4,1,1.03,0.03,0,0,0
the_patient,rare,timing,158,479,320,202.4,1,1.01,0.01,0,0,0
chance_doctrine,uncommon,combo,158,447,289,182.4,1,1,0,0,0,0
pair_dynamo,common,combo,158,359,201,126.9,1,1,0,0,0,0
stargazer,rare,face,158,350,192,121.1,1,1,0,0,0,0
lucky_streak,common,combo,158,348,190,119.7,1,1,0,0,0,0
the_reckoning,legendary,combo,158,336,177,111.9,1,1,0,0,0,0
shard_lung,uncommon,economy,158,334,175,110.7,1,1.03,0.03,0,0,0
all_band,legendary,combo,158,312,154,96.9,1,1,0,0,0,0
prism_lens,uncommon,combo,158,303,144,91.2,1,1,0,0,0,0
penumbra,rare,combo,158,287,128,81,1,1.01,0.01,0,0,0
cold_hand,common,combo,158,281,123,77.6,1,1,0,0,0,0
tide,uncommon,scaling,158,245,87,54.8,1,1,0,0,0,0
crown_of_skulls,legendary,risk,158,240,82,51.5,1,1,0,0,0,0
metronome,rare,timing,158,229,71,44.9,1,1,0,0,0,0
mosaic_bias,uncommon,face,158,225,66,42,1,1,0,0,0,0
entropy_index,rare,face,158,224,65,41.2,1,1,0,0,0,0
highwater,uncommon,scaling,158,218,60,37.6,1,1,0,0,0,0
nova_burst,rare,scaling,158,214,55,34.9,1,1,0,0,0,0
hourglass,rare,timing,158,204,45,28.7,1,1,0,0,0,0
reservoir,common,face,158,204,45,28.5,1,1,0,0,0,0
even_keeled,common,face,158,202,43,27.4,1,1,0,0,0,0
ouroboros,rare,scaling,158,198,39,24.8,1,1,0,0,0,0
dice_master,uncommon,utility,158,192,34,21.2,1,1,0,0,0,0
high_roller,rare,face,158,187,29,18.1,1,1,0,0,0,0
low_choir,uncommon,face,158,186,27,17.2,1,1,0,0,0,0
quorum,uncommon,timing,158,185,27,16.8,1,1,0,0,0,0
last_throw,common,timing,158,184,25,16,1,1,0,0,0,0
economy_engine,rare,economy,158,182,24,15,1,1,0,0,0,0
shard_sink,common,economy,158,180,22,13.9,1,1,0,0,0,0
tempo,uncommon,scaling,158,179,21,13,1,1,0,0,0,0
lyric_pulse,uncommon,combo,158,179,20,12.8,1,1,0,0,0,0
momentum,uncommon,scaling,158,179,20,12.7,1,1,0,0,0,0
odd_voice,common,face,158,175,17,10.8,1,1,0,0,0,0
lodestone,common,scaling,158,174,16,10,1,1,0,0,0,0
comet_trail,uncommon,scaling,158,174,16,10,1,1,0,0,0,0
prime_resonance,rare,scaling,158,173,15,9.6,1,1,0,0,0,0
streak_seeker,uncommon,timing,158,173,15,9.2,1,1,0,0,0,0
shadow_cache,common,face,158,172,14,8.9,1,1,0,0,0,0
patience_counter,rare,timing,158,171,12,7.8,1,1,0,0,0,0
iron_six,common,face,158,169,10,6.5,1,1,0,0,0,0
wildcard_waltz,uncommon,face,158,169,10,6.4,1,1,0,0,0,0
face_value,common,face,158,167,9,5.8,1,1,0,0,0,0
heirloom_locket,legendary,scaling,158,167,9,5.4,1,1,0,0,0,0
golden_ratio,uncommon,face,158,166,8,4.8,1,1,0,0,0,0
prime_pact,common,face,158,164,5,3.4,1,1,0,0,0,0
six_bias,common,face,158,164,5,3.3,1,1,0,0,0,0
captains_wage,uncommon,face,158,163,4,2.8,1,1,0,0,0,0
triplet_engine,uncommon,combo,158,162,4,2.3,1,1,0,0,0,0
silent_witness,uncommon,combo,158,162,3,2.2,1,1,0,0,0,0
cosmic_compass,rare,scaling,158,161,3,1.7,1,1,0,0,0,0
compounding_bias,uncommon,scaling,158,161,3,1.6,1,1,0,0,0,0
solar_flare,uncommon,face,158,160,1,0.9,1,1,0,0,0,0
memento_star,rare,scaling,158,160,1,0.9,1,1,0,0,0,0
usurer,rare,economy,158,159,0,0.1,1,1.02,0.02,0,0,0
stratifier,uncommon,combo,158,158,0,0,1,1,0,0,0,0
chaos_theory,uncommon,combo,158,158,0,0,1,1,0,0,0,0
twin_sample,uncommon,combo,158,158,0,0,1,1,0,0,0,0
catalyst_bench,uncommon,scaling,158,158,0,0,1,1,0,0,0,0
stipend,uncommon,economy,158,158,0,0,1,1,0,0,0,0
recursive_sink,rare,economy,158,158,0,0,1,1,0,0,0,0
encore,rare,mods,158,158,0,0,1,1,0,0,0,0
phase_shift,uncommon,mods,158,158,0,0,1,1,0,0,0,0
conductor,rare,mods,158,158,0,0,1,1,0,0,0,0
magnitude,rare,combo,158,158,0,0,1,1,0,0,0,0
levels_levy,rare,scaling,158,158,0,0,1,1,0,0,0,0
straight_signal,uncommon,combo,158,158,0,0,1,1,0,0,0,0
tetrad,rare,combo,158,158,0,0,1,1,0,0,0,0
apex,rare,combo,158,158,0,0,1,1,0,0,0,0
harmonic,rare,mods,158,158,0,0,1,1,0,0,0,0
silver_tongue,uncommon,utility,158,158,0,0,1,1,0,0,0,0
dust_off,common,utility,158,158,0,0,1,1,0,0,0,0
audit,uncommon,utility,158,158,0,0,1,1,0,0,0,0
gilding_press,uncommon,mods,158,158,0,0,1,1,0,0,0,0
mod_gravity,uncommon,mods,158,158,0,0,1,1,0,0,0,0
royal_flush,rare,combo,158,158,0,0,1,1,0,0,0,0
crowded_table,uncommon,face,158,158,0,0,1,1,0,0,0,0
three_sigil,rare,combo,158,158,0,0,1,1,0,0,0,0
star_chart,uncommon,scaling,158,158,0,0,1,1,0,0,0,0
lunar_phases,rare,scaling,158,158,0,0,1,1,0,0,0,0
event_horizon,rare,scaling,158,158,0,0,1,1,0,0,0,0
polaris,uncommon,mods,158,158,0,0,1,1,0,0,0,0
refrain,rare,mods,158,158,0,0,1,1,0,0,0,0
mirror_edge,uncommon,mods,158,158,0,0,1,1,0,0,0,0
curtain_call,rare,timing,158,158,0,0,1,1,0,0,0,0
stutter,uncommon,mods,158,158,0,0,1,1,0,0,0,0
recursion_lens,legendary,mods,158,158,0,0,1,1,0,0,0,0
cardinal_compass,common,face,158,158,0,0,1,1,0,0,0,0
echo_chamber,uncommon,mods,158,158,0,0,1,1,0,0,0,0
unseen_chorus,uncommon,combo,158,158,0,0,1,1,0,0,0,0
kinetic_charge,common,collision,158,158,0,0,1,1,0,0,0,0
chain_reaction,uncommon,collision,158,158,0,0,1,1,0,0,0,0
kindred_clatter,rare,collision,158,158,0,0,1,1,0,0,0,0
voidwalker,legendary,scaling,158,158,0,0,1,1,0,0,0,0
salt_of_earth,uncommon,economy,158,158,0,0,1,1,0,0,0,0
bloodied_coin,rare,risk,158,158,0,0,1,1,0,0,0,0
the_confessor,uncommon,mods,158,158,0,0,1,1,0,0,0,0
piggy_bank,uncommon,economy,158,158,0,0,1,1,0,0,0,0
runaway,uncommon,scaling,158,158,0,0,1,1,0,0,0,0
resonance_cascade,rare,collision,158,158,0,0,1,1,0,0,0,0
leveling,uncommon,combo,158,158,0,0,1,1,0,0,0,0
crescendo_run,uncommon,scaling,158,157,-1,-0.7,1,1,0,0,0,0
double_or_nothing,rare,risk,158,112,-46,-29,1,1,0,0,0,0
hollow_bishop,rare,risk,158,109,-49,-31.2,1,1,0,0,0,0
witchs_bargain,uncommon,risk,158,95,-63,-40.1,1,1,0,0,0,0
