constellation,stake,runs,meanDustPerRun,medianDustPerRun,totalDust300runs
lyra,spark,200,4.54,4,909
lyra,ember,200,3.93,4,786
lyra,pyre,200,3.06,4,611
lyra,beacon,200,1.99,1,398
lyra,nova,200,1.54,1,308
lyra,supernova,200,1.47,1,293
mensa,spark,200,2.52,1,503
mensa,ember,200,2.06,1,413
mensa,pyre,200,1.86,1,372
mensa,beacon,200,1.24,1,248
mensa,nova,200,1.2,1,239
mensa,supernova,200,1.15,1,230
triumvirate,spark,200,1.25,1,251
triumvirate,ember,200,1.1,1,221
triumvirate,pyre,200,1.04,1,209
triumvirate,beacon,200,1,1,200
triumvirate,nova,200,1,1,200
triumvirate,supernova,200,1,1,200
argo,spark,200,1,1,200
argo,ember,200,1,1,200
argo,pyre,200,1,1,200
argo,beacon,200,1,1,200
argo,nova,200,1,1,200
argo,supernova,200,1,1,200
fibonacci,spark,200,6.3,7,1260
fibonacci,ember,200,5.66,4,1132
fibonacci,pyre,200,4.09,4,818
fibonacci,beacon,200,2.68,4,536
fibonacci,nova,200,1.98,1,395
fibonacci,supernova,200,1.87,1,374
eclipse,spark,200,3.15,4,630
eclipse,ember,200,2.6,4,521
eclipse,pyre,200,2.6,4,521
eclipse,beacon,200,1.68,1,335
eclipse,nova,200,1.47,1,293
eclipse,supernova,200,1.39,1,278
polyhedra,spark,200,2.87,4,573
polyhedra,ember,200,2.37,1,473
polyhedra,pyre,200,1.81,1,362
polyhedra,beacon,200,1.5,1,299
polyhedra,nova,200,1.18,1,236
polyhedra,supernova,200,1.17,1,233
ophiuchus,spark,200,1.98,1,395
ophiuchus,ember,200,1.61,1,323
ophiuchus,pyre,200,1.3,1,260
ophiuchus,beacon,200,1.06,1,212
ophiuchus,nova,200,1.03,1,206
ophiuchus,supernova,200,1.03,1,206
