constellation,stake,loadout,runs,winRate,meanAnte,meanScore,medianScore
lyra,spark,mixed_top,100,0,1.55,1440,1478
lyra,ember,mixed_top,100,0,1.49,1566,1869
lyra,pyre,mixed_top,100,0,1.34,1341,1600
lyra,beacon,mixed_top,100,0,1,971,905
lyra,nova,mixed_top,100,0,1.01,936,949
lyra,supernova,mixed_top,100,0,1,1050,1077
mensa,spark,mixed_top,100,0,1.4,1170,1078
mensa,ember,mixed_top,100,0,1.19,1114,1052
mensa,pyre,mixed_top,100,0,1.2,1036,994
mensa,beacon,mixed_top,100,0,1.02,796,755
mensa,nova,mixed_top,100,0,1.01,676,627
mensa,supernova,mixed_top,100,0,1,758,687
triumvirate,spark,mixed_top,100,0,1,416,410
triumvirate,ember,mixed_top,100,0,1,460,440
triumvirate,pyre,mixed_top,100,0,1,294,116
triumvirate,beacon,mixed_top,100,0,1,220,72
triumvirate,nova,mixed_top,100,0,1,184,56
triumvirate,supernova,mixed_top,100,0,1,206,58
argo,spark,mixed_top,100,0,1,612,656
argo,ember,mixed_top,100,0,1,609,640
argo,pyre,mixed_top,100,0,1,590,622
argo,beacon,mixed_top,100,0,1,311,344
argo,nova,mixed_top,100,0,1,315,312
argo,supernova,mixed_top,100,0,1,335,337
fibonacci,spark,mixed_top,100,0,1.69,1793,1807
fibonacci,ember,mixed_top,100,0,1.59,1836,1937
fibonacci,pyre,mixed_top,100,0,1.4,1572,1775
fibonacci,beacon,mixed_top,100,0,1.14,1096,1087
fibonacci,nova,mixed_top,100,0,1.05,1199,1133
fibonacci,supernova,mixed_top,100,0,1.03,1196,1174
eclipse,spark,mixed_top,100,0,1.02,850,761
eclipse,ember,mixed_top,100,0,1,877,792
eclipse,pyre,mixed_top,100,0,1,877,792
eclipse,beacon,mixed_top,100,0,1,528,416
eclipse,nova,mixed_top,100,0,1,515,416
eclipse,supernova,mixed_top,100,0,1,554,416
polyhedra,spark,mixed_top,100,0,1.35,1258,1378
polyhedra,ember,mixed_top,100,0,1.22,1285,1387
polyhedra,pyre,mixed_top,100,0,1.06,1037,992
polyhedra,beacon,mixed_top,100,0,1.01,701,736
polyhedra,nova,mixed_top,100,0,1,692,757
polyhedra,supernova,mixed_top,100,0,1,740,757
ophiuchus,spark,mixed_top,100,0,1,721,755
ophiuchus,ember,mixed_top,100,0,1,802,851
ophiuchus,pyre,mixed_top,100,0,1,723,784
ophiuchus,beacon,mixed_top,100,0,1,508,503
ophiuchus,nova,mixed_top,100,0,1,483,442
ophiuchus,supernova,mixed_top,100,0,1,463,446
lyra,spark,scaling,100,0,1.16,619,479
lyra,ember,scaling,100,0,1.12,626,479
lyra,pyre,scaling,100,0,1.01,405,292
lyra,beacon,scaling,100,0,1,253,234
lyra,nova,scaling,100,0,1,258,201
lyra,supernova,scaling,100,0,1,271,219
mensa,spark,scaling,100,0,1.01,254,190
mensa,ember,scaling,100,0,1,270,196
mensa,pyre,scaling,100,0,1,234,187
mensa,beacon,scaling,100,0,1,146,116
mensa,nova,scaling,100,0,1,143,110
mensa,supernova,scaling,100,0,1,159,110
triumvirate,spark,scaling,100,0,1,128,103
triumvirate,ember,scaling,100,0,1,137,113
triumvirate,pyre,scaling,100,0,1,92,82
triumvirate,beacon,scaling,100,0,1,68,47
triumvirate,nova,scaling,100,0,1,61,35
triumvirate,supernova,scaling,100,0,1,65,39
argo,spark,scaling,100,0,1,271,245
argo,ember,scaling,100,0,1,249,246
argo,pyre,scaling,100,0,1,263,241
argo,beacon,scaling,100,0,1,168,169
argo,nova,scaling,100,0,1,157,158
argo,supernova,scaling,100,0,1,157,158
fibonacci,spark,scaling,100,0,1.28,845,722
fibonacci,ember,scaling,100,0,1.22,867,722
fibonacci,pyre,scaling,100,0,1.08,654,489
fibonacci,beacon,scaling,100,0,1,445,285
fibonacci,nova,scaling,100,0,1,361,273
fibonacci,supernova,scaling,100,0,1,378,294
eclipse,spark,scaling,100,0,1,440,337
eclipse,ember,scaling,100,0,1,445,319
eclipse,pyre,scaling,100,0,1,445,319
eclipse,beacon,scaling,100,0,1,263,248
eclipse,nova,scaling,100,0,1,261,248
eclipse,supernova,scaling,100,0,1,281,248
polyhedra,spark,scaling,100,0,1.03,350,266
polyhedra,ember,scaling,100,0,1.02,336,266
polyhedra,pyre,scaling,100,0,1,247,212
polyhedra,beacon,scaling,100,0,1,172,186
polyhedra,nova,scaling,100,0,1,146,112
polyhedra,supernova,scaling,100,0,1,149,112
ophiuchus,spark,scaling,100,0,1,261,204
ophiuchus,ember,scaling,100,0,1,260,204
ophiuchus,pyre,scaling,100,0,1,184,146
ophiuchus,beacon,scaling,100,0,1,132,79
ophiuchus,nova,scaling,100,0,1,114,72
ophiuchus,supernova,scaling,100,0,1,119,73
lyra,spark,combo_synergy,100,0,1.36,772,779
lyra,ember,combo_synergy,100,0,1.26,856,860
lyra,pyre,combo_synergy,100,0,1.07,802,832
lyra,beacon,combo_synergy,100,0,1,624,539
lyra,nova,combo_synergy,100,0,1,581,529
lyra,supernova,combo_synergy,100,0,1,551,512
mensa,spark,combo_synergy,100,0,1.06,675,667
mensa,ember,combo_synergy,100,0,1.04,766,751
mensa,pyre,combo_synergy,100,0,1.01,690,679
mensa,beacon,combo_synergy,100,0,1,400,336
mensa,nova,combo_synergy,100,0,1,379,336
mensa,supernova,combo_synergy,100,0,1,385,360
triumvirate,spark,combo_synergy,100,0,1,413,400
triumvirate,ember,combo_synergy,100,0,1,385,343
triumvirate,pyre,combo_synergy,100,0,1,274,161
triumvirate,beacon,combo_synergy,100,0,1,206,236
triumvirate,nova,combo_synergy,100,0,1,193,91
