constellation,stake,winRate,meanScore,meanFinalAnte,meanCatalystsBought
lyra,spark,0.006,1028.906,1.39,2.232
lyra,ember,0.002,803.954,1.06,0.916
lyra,pyre,0,369.516,1.018,0.666
lyra,beacon,0,355.702,1.01,0.57
lyra,nova,0,199.042,1,0.16
lyra,supernova,0,200.842,1,0.016
mensa,spark,0.004,547.418,1.06,0.89
mensa,ember,0,243.944,1.004,0.444
mensa,pyre,0,210.216,1.002,0.356
mensa,beacon,0,204.398,1.002,0.22
mensa,nova,0,126.194,1,0.054
mensa,supernova,0,130.112,1,0.004
triumvirate,spark,0,164.62,1,0.23
triumvirate,ember,0,119.058,1,0.118
triumvirate,pyre,0,103.438,1,0.068
triumvirate,beacon,0,103.21,1,0.06
triumvirate,nova,0,70.252,1,0
triumvirate,supernova,0,70.252,1,0
argo,spark,0,175.874,1,0.18
argo,ember,0,116.898,1,0.016
argo,pyre,0,113.032,1,0.02
argo,beacon,0,112.202,1,0.006
argo,nova,0,72.074,1,0
argo,supernova,0,72.074,1,0
fibonacci,spark,0.04,5911.538,1.804,3.766
fibonacci,ember,0.006,1053.794,1.174,1.684
fibonacci,pyre,0,593.896,1.086,1.262
fibonacci,beacon,0.002,1066.208,1.072,1.204
fibonacci,nova,0,300.992,1.004,0.376
fibonacci,supernova,0,304.75,1,0.03
eclipse,spark,0.014,2252.974,1.176,1.564
eclipse,ember,0.002,519.272,1.058,0.918
eclipse,pyre,0,476.12,1.046,0.888
eclipse,beacon,0,391.882,1.024,0.402
eclipse,nova,0,223.678,1.004,0.108
eclipse,supernova,0,213.232,1,0
polyhedra,spark,0.004,759.97,1.152,1.4
polyhedra,ember,0.002,572.21,1.026,0.708
polyhedra,pyre,0,240.028,1.004,0.454
polyhedra,beacon,0,267.396,1.006,0.346
polyhedra,nova,0,145.374,1,0.074
polyhedra,supernova,0,146.864,1,0.016
ophiuchus,spark,0.002,384.85,1.018,0.588
ophiuchus,ember,0,200.794,1.004,0.362
ophiuchus,pyre,0,127.312,1,0.184
ophiuchus,beacon,0,130.624,1,0.132
ophiuchus,nova,0,91.322,1,0.026
ophiuchus,supernova,0,92.654,1,0
