constellation,stake,winRate,meanScore,meanFinalAnte,meanCatalystsBought
lyra,spark,0,672.76,1.2,0.048
lyra,ember,0,461.274,1.022,0
lyra,pyre,0,323.58,1.002,0
lyra,beacon,0,327.03,1.002,0
lyra,nova,0,193.996,1,0
lyra,supernova,0,200.768,1,0
mensa,spark,0,323.094,1.012,0.004
mensa,ember,0,211.698,1,0
mensa,pyre,0,189.476,1.002,0
mensa,beacon,0,190.866,1.002,0
mensa,nova,0,125.326,1,0
mensa,supernova,0,130.084,1,0
triumvirate,spark,0,155.692,1,0.05
triumvirate,ember,0,114.672,1,0.04
triumvirate,pyre,0,101.01,1,0.016
triumvirate,beacon,0,101.33,1,0.016
triumvirate,nova,0,70.252,1,0
triumvirate,supernova,0,70.252,1,0
argo,spark,0,170.262,1,0.172
argo,ember,0,116.79,1,0.016
argo,pyre,0,112.634,1,0.02
argo,beacon,0,112.276,1,0.006
argo,nova,0,72.074,1,0
argo,supernova,0,72.074,1,0
fibonacci,spark,0,942.14,1.426,0.112
fibonacci,ember,0,646.938,1.08,0.01
fibonacci,pyre,0,483.722,1.022,0.004
fibonacci,beacon,0,487.16,1.022,0
fibonacci,nova,0,283.266,1.002,0
fibonacci,supernova,0,302.776,1,0
eclipse,spark,0,422.41,1.004,0
eclipse,ember,0,312.284,1,0
eclipse,pyre,0,310.624,1,0
eclipse,beacon,0,320.324,1,0
eclipse,nova,0,209.814,1,0
eclipse,supernova,0,213.424,1,0
polyhedra,spark,0,464.118,1.062,0.114
polyhedra,ember,0,330.292,1.004,0.076
polyhedra,pyre,0,212.158,1,0.06
polyhedra,beacon,0,224.482,1,0.056
polyhedra,nova,0,142.396,1,0.024
polyhedra,supernova,0,147.406,1,0.016
ophiuchus,spark,0,269.064,1,0
ophiuchus,ember,0,179.95,1,0
ophiuchus,pyre,0,122.018,1,0
ophiuchus,beacon,0,128.202,1,0
ophiuchus,nova,0,91.026,1,0
ophiuchus,supernova,0,92.654,1,0
