constellation,stake,winRate,meanScore,meanFinalAnte,meanCatalystsBought
lyra,spark,0.008,1944.442,1.378,2.184
lyra,ember,0.002,804.89,1.058,0.92
lyra,pyre,0,370.924,1.016,0.66
lyra,beacon,0,350.918,1.008,0.522
lyra,nova,0,199.17,1,0.16
lyra,supernova,0,200.842,1,0.016
mensa,spark,0.004,534.26,1.054,0.866
mensa,ember,0,246.38,1.002,0.44
mensa,pyre,0,211.138,1.002,0.356
mensa,beacon,0,204.21,1.002,0.202
mensa,nova,0,126.088,1,0.054
mensa,supernova,0,130.112,1,0.004
triumvirate,spark,0,164.52,1,0.23
triumvirate,ember,0,119.146,1,0.118
triumvirate,pyre,0,103.398,1,0.068
triumvirate,beacon,0,103.492,1,0.054
triumvirate,nova,0,70.252,1,0
triumvirate,supernova,0,70.252,1,0
argo,spark,0,174.88,1,0.18
argo,ember,0,116.83,1,0.016
argo,pyre,0,112.97,1,0.02
argo,beacon,0,112.166,1,0.006
argo,nova,0,72.074,1,0
argo,supernova,0,72.074,1,0
fibonacci,spark,0.036,15113.75,1.792,3.714
fibonacci,ember,0.006,1144.328,1.178,1.698
fibonacci,pyre,0.002,645.486,1.08,1.246
fibonacci,beacon,0,568.046,1.064,1.06
fibonacci,nova,0,300.534,1.004,0.376
fibonacci,supernova,0,304.75,1,0.03
eclipse,spark,0.014,2255.358,1.176,1.57
eclipse,ember,0.002,519.566,1.058,0.922
eclipse,pyre,0,476.424,1.046,0.892
eclipse,beacon,0,393.158,1.024,0.37
eclipse,nova,0,226,1.004,0.11
eclipse,supernova,0,213.232,1,0
polyhedra,spark,0.004,764.888,1.15,1.406
polyhedra,ember,0.002,747.508,1.026,0.71
polyhedra,pyre,0,241.086,1.004,0.456
polyhedra,beacon,0,268.202,1.006,0.328
polyhedra,nova,0,145.366,1,0.074
polyhedra,supernova,0,146.864,1,0.016
ophiuchus,spark,0.002,384.728,1.018,0.592
ophiuchus,ember,0,201.608,1.004,0.362
ophiuchus,pyre,0,127.312,1,0.184
ophiuchus,beacon,0,130.508,1,0.122
ophiuchus,nova,0,91.318,1,0.026
ophiuchus,supernova,0,92.654,1,0
