constellation,stake,winRate,meanScore,meanFinalAnte,meanCatalystsBought
lyra,spark,0.012,1340.494,1.414,2.298
lyra,ember,0,517.074,1.048,0.872
lyra,pyre,0,370.328,1.01,0.65
lyra,beacon,0,352.024,1.008,0.518
lyra,nova,0,199.99,1,0.162
lyra,supernova,0,202.094,1,0.016
mensa,spark,0,379.38,1.034,0.79
mensa,ember,0,242.856,1.002,0.426
mensa,pyre,0,207.702,1.002,0.35
mensa,beacon,0,202.044,1.002,0.204
mensa,nova,0,127.912,1,0.054
mensa,supernova,0,131.8,1,0.004
triumvirate,spark,0,163.96,1,0.234
triumvirate,ember,0,118.114,1,0.118
triumvirate,pyre,0,102.056,1,0.068
triumvirate,beacon,0,102.02,1,0.054
triumvirate,nova,0,70.252,1,0
triumvirate,supernova,0,70.252,1,0
argo,spark,0,174.84,1,0.178
argo,ember,0,116.73,1,0.016
argo,pyre,0,112.594,1,0.02
argo,beacon,0,112.166,1,0.006
argo,nova,0,72.074,1,0
argo,supernova,0,72.074,1,0
fibonacci,spark,0.038,7080.06,1.77,3.606
fibonacci,ember,0.008,1814.434,1.196,1.736
fibonacci,pyre,0.002,641.304,1.08,1.236
fibonacci,beacon,0,547.346,1.058,1.04
fibonacci,nova,0,297.382,1.008,0.382
fibonacci,supernova,0,304.634,1,0.03
eclipse,spark,0.024,1416.378,1.198,1.604
eclipse,ember,0.002,492.236,1.05,0.876
eclipse,pyre,0,445.57,1.036,0.838
eclipse,beacon,0,357.156,1.012,0.326
eclipse,nova,0,221.698,1.004,0.108
eclipse,supernova,0,213.232,1,0
polyhedra,spark,0.002,606.368,1.154,1.44
polyhedra,ember,0.002,1256.242,1.022,0.714
polyhedra,pyre,0,238.346,1,0.45
polyhedra,beacon,0,239.322,1.002,0.31
polyhedra,nova,0,145.816,1,0.074
polyhedra,supernova,0,146.81,1,0.016
ophiuchus,spark,0,292.744,1.022,0.596
ophiuchus,ember,0,197.438,1.004,0.372
ophiuchus,pyre,0,127.786,1,0.184
ophiuchus,beacon,0,131.806,1,0.122
ophiuchus,nova,0,91.59,1,0.026
ophiuchus,supernova,0,92.654,1,0
