seed,strategy,constellation,stake,won,finalAnte,goalsCleared,finalScore,totalHands,shardsEarned,catalysts,vouchers,consumables,mods,packs,rerolls,bustReason,combo_chance,combo_one_pair,combo_two_pair,combo_three_kind,combo_sm_straight,combo_full_house,combo_lg_straight,combo_four_kind,combo_five_kind
101,heuristic_shop,lyra,spark,0,1,0,55,4,0,0,0,0,0,0,0,target_miss,0,3,0,1,0,0,0,0,0
102,heuristic_shop,lyra,spark,0,2,5,700,17,40,0,5,0,1,0,0,target_miss,1,4,0,8,0,0,0,4,0
103,heuristic_shop,lyra,spark,0,1,2,0,5,13,2,0,0,0,0,0,iter_cap,0,0,0,5,0,0,0,0,0
104,heuristic_shop,lyra,spark,0,1,1,475,6,7,1,0,0,0,0,0,target_miss,0,4,0,2,0,0,0,0,0
105,heuristic_shop,lyra,spark,0,1,2,0,3,15,3,0,0,0,0,0,iter_cap,0,1,0,1,0,0,0,1,0
106,heuristic_shop,lyra,spark,0,1,2,546,9,13,1,1,0,0,0,0,target_miss,0,3,0,6,0,0,0,0,0
107,heuristic_shop,lyra,spark,0,1,2,1041,8,14,0,2,0,0,0,0,target_miss,0,2,0,5,0,0,0,1,0
108,heuristic_shop,lyra,spark,0,1,2,0,3,16,0,2,0,0,0,0,iter_cap,0,0,0,2,0,0,0,1,0
109,heuristic_shop,lyra,spark,0,1,1,510,5,9,0,1,0,0,0,0,target_miss,0,2,0,2,0,0,0,1,0
110,heuristic_shop,lyra,spark,0,1,1,383,6,9,0,1,0,0,0,0,target_miss,0,3,0,2,0,0,0,1,0
111,heuristic_shop,lyra,spark,0,1,2,1186,7,17,0,2,0,0,0,0,target_miss,0,2,0,2,0,0,0,3,0
112,heuristic_shop,lyra,spark,0,2,3,672,13,24,2,1,0,1,1,0,target_miss,0,4,0,7,0,0,0,2,0
113,heuristic_shop,lyra,spark,0,3,6,1279,22,47,6,2,0,0,0,0,target_miss,0,4,0,13,0,0,0,4,1
114,heuristic_shop,lyra,spark,0,2,5,1095,17,37,5,1,0,1,0,0,target_miss,0,2,0,11,0,0,0,4,0
115,heuristic_shop,lyra,spark,0,1,1,734,6,7,1,0,0,0,0,0,target_miss,0,2,0,4,0,0,0,0,0
116,heuristic_shop,lyra,spark,0,1,2,0,3,15,0,2,0,0,0,0,iter_cap,0,0,0,2,0,0,0,1,0
117,heuristic_shop,lyra,spark,0,1,1,537,7,8,0,1,0,0,0,0,target_miss,0,3,0,3,0,0,0,1,0
118,heuristic_shop,lyra,spark,0,1,2,330,10,18,2,1,0,0,0,0,target_miss,0,5,0,3,0,0,0,2,0
119,heuristic_shop,lyra,spark,0,1,1,354,7,6,1,0,0,0,0,0,target_miss,0,5,0,2,0,0,0,0,0
