constellation,stake,runs,winRate,meanAnte,meanScore,medianScore,meanCatalysts,meanVouchers,bustAt1,bustAt2,bustAt3,bustAt4,iterCap
lyra,spark,300,0,1.0066666666666666,332,281,0.71,0.06,295,2,0,0,3
lyra,ember,300,0,1.01,333,289,0.58,0.053,295,3,0,0,2
lyra,pyre,300,0,1.0066666666666666,295,267,0.49,0.04,296,2,0,0,2
lyra,beacon,300,0,1,197,209,0.09,0,300,0,0,0,0
lyra,nova,300,0,1,192,205,0.07,0,300,0,0,0,0
lyra,supernova,300,0,1,203,209,0,0,300,0,0,0,0
mensa,spark,300,0,1,132,95,0.24,0.003,300,0,0,0,0
mensa,ember,300,0,1,144,100,0.14,0,300,0,0,0,0
mensa,pyre,300,0,1,144,100,0.14,0,300,0,0,0,0
mensa,beacon,300,0,1,102,59,0.01,0,300,0,0,0,0
mensa,nova,300,0,1,102,59,0.01,0,300,0,0,0,0
mensa,supernova,300,0,1,103,59,0,0,300,0,0,0,0
triumvirate,spark,300,0,1,94,81,0.08,0.007,300,0,0,0,0
triumvirate,ember,300,0,1,99,81,0.06,0,300,0,0,0,0
triumvirate,pyre,300,0,1,85,73,0.02,0.003,300,0,0,0,0
triumvirate,beacon,300,0,1,66,44,0,0,300,0,0,0,0
triumvirate,nova,300,0,1,54,38,0,0,300,0,0,0,0
triumvirate,supernova,300,0,1,54,38,0,0,300,0,0,0,0
argo,spark,300,0,1,50,46,0,0,300,0,0,0,0
argo,ember,300,0,1,50,46,0,0,300,0,0,0,0
argo,pyre,300,0,1,48,46,0,0,300,0,0,0,0
argo,beacon,300,0,1,30,28,0,0,300,0,0,0,0
argo,nova,300,0,1,29,26,0,0,300,0,0,0,0
argo,supernova,300,0,1,29,26,0,0,300,0,0,0,0
fibonacci,spark,300,0,1.0166666666666666,418,334,0.98,0.06,290,5,0,0,5
fibonacci,ember,300,0,1.0133333333333334,423,334,0.83,0.053,292,4,0,0,4
fibonacci,pyre,300,0,1.0033333333333334,394,324,0.73,0.053,295,1,0,0,4
fibonacci,beacon,300,0,1,241,219,0.14,0,300,0,0,0,0
fibonacci,nova,300,0,1,242,220,0.13,0,300,0,0,0,0
fibonacci,supernova,300,0,1,244,219,0,0.003,300,0,0,0,0
eclipse,spark,300,0,1,327,270,0.71,0.027,300,0,0,0,0
eclipse,ember,300,0,1,342,287,0.52,0.023,300,0,0,0,0
eclipse,pyre,300,0,1,342,287,0.52,0.023,300,0,0,0,0
eclipse,beacon,300,0,1,209,218,0.09,0,300,0,0,0,0
eclipse,nova,300,0,1,224,225,0.09,0,300,0,0,0,0
eclipse,supernova,300,0,1,225,225,0,0,300,0,0,0,0
polyhedra,spark,300,0,1,247,237,0.45,0.037,299,0,0,0,1
polyhedra,ember,300,0,1,253,256,0.29,0.033,300,0,0,0,0
polyhedra,pyre,300,0,1,193,160,0.19,0.023,300,0,0,0,0
polyhedra,beacon,300,0,1,140,88,0.04,0,300,0,0,0,0
polyhedra,nova,300,0,1,129,82,0.03,0,300,0,0,0,0
polyhedra,supernova,300,0,1,130,82,0,0,300,0,0,0,0
ophiuchus,spark,300,0,1,114,93,0.12,0.01,300,0,0,0,0
ophiuchus,ember,300,0,1,123,98,0.06,0.003,300,0,0,0,0
ophiuchus,pyre,300,0,1,111,91,0.05,0.003,300,0,0,0,0
ophiuchus,beacon,300,0,1,81,65,0.01,0,300,0,0,0,0
ophiuchus,nova,300,0,1,76,63,0.01,0,300,0,0,0,0
ophiuchus,supernova,300,0,1,76,63,0,0,300,0,0,0,0
